No,English,Japanese
671,relatively,比較的，相対的に(副詞)
672,substitute,代用品/代わりに用いる(名詞)
673,peel,皮，表皮(名詞)
674,hospitality,おもてなし，歓待(名詞)
675,tragedy,悲劇，悲惨な出来事(名詞)
676,struggle with,と闘う，に苦戦する(熟語)
677,instruct,指示する，教える(動詞)
678,gather,を集める，収集する(動詞)
679,get used to,慣れる，習慣づく(熟語)
680,out of date,時代遅れの，古風な(熟語)
681,in tough,苦労して，厳しい(熟語)
682,under way,進行中で，進行する(熟語)
683,come into being,生まれ出る，生ずる(熟語)
684,in need of,を必要として，～がぜひとも必要(熟語)
685,be aware of,に気づいている，認識している(熟語)
686,at a loss,途方に暮れて，困惑して(熟語)
687,within reach,届く範囲で，手の届く範囲で(熟語)
688,on average,平均して，平均値で(熟語)
689,in a row,一列に，連続的に(熟語)
690,appear,现れる，出現する(動詞)
691,hesitate,ためらう，躊躇する(動詞)
692,be short of,が不足する，欠ける(熟語)
693,play a role in,において役割を果たす(熟語)
694,alternative,代替物，代案(名詞)
695,depression,落ち込み，不景気(名詞)
696,large amount of,大量の，たくさんの(熟語)
697,rug,じゅうたん，敷き物(名詞)
698,invent,を発明する，創造する(動詞)
699,encourage,を勇気づける，励ます(動詞)
700,rarely,めったに～ない，稀に(副詞)
701,digest,要約/消化する(名詞/動詞)
702,focus on,に焦点を合わせる，に注目する(熟語)
703,be concerned about,について気をかける，心配する(熟語)
704,vocabulary,単語，語彙(名詞)
705,complex,複雑な，複合の(形容詞)
706,strengthen,強化する，増強する(動詞)
707,similarly,同様に，一様に(副詞)
708,ignorance,无知，無学(名詞)
709,opposite,反対の，向こう側の(形容詞)
710,pronunciation,発音，発声(名詞)
711,invention,発明，創造(名詞)
712,reverse,反対の，裏側の(形容詞)
713,commute,通勤する，取り替える(動詞)
714,appeal,訴える，告発する，告訴する(動詞)
715,qualify,に資格を与える，認可する(動詞)
716,incident,出来事，事件(名詞)
717,market,市場，市場経済(名詞)
718,maximum,最大，最大の(名詞)
719,yell,大声で叫ぶ，大声を出す(動詞)
720,sneeze,くしゃみ/くしゃみをする(名詞/動詞)
721,wipe,を拭く，拭き取る(動詞)
722,twist,ねじれ，より合わせる(名詞/動詞)
723,civilize,文明化する，開化させる(動詞)
724,murder,殺人，凶行(名詞)
725,impose,を課す，負わせる(動詞)
726,parliament,議会，国会(名詞)
727,nursery school,保育園，幼稚園(熟語)
728,glance,一目見る/一目(名詞/動詞)
729,aid,援助/助ける(名詞/動詞)
730,force,力，勢い(名詞)
731,role,役割，職務(名詞)
732,acquaint,知らせる(動詞)
733,superior,より優れた，優越な(形容詞)
734,knowledge,知識，学識(名詞)
735,mindful,気をつけて，注意深く(形容詞)
736,stand still,停止，休止，行き詰まり(熟語)
737,appearance,出現，外見(名詞)
738,incredible,信じられない，信じがたい(形容詞)
739,in terms of,に関して，の点から(熟語)
740,article,記事，論文(名詞)
741,for sure,確かに，間違いなく(熟語)
742,ancestor,祖先，先祖(名詞)
743,in time,丁度よい時に，丁度間に合って(熟語)
744,bend,曲げる，湾曲させる(動詞)
745,occur,発生する，起こる(動詞)
746,objection,異議，反対(名詞)
747,lazy,怠け者の，ぐうたらの(形容詞)
748,outstanding,並外れた，目立った(形容詞)
749,construct,を組み立てる，建設する(動詞)
750,adequate,適切で，十分な(形容詞)
751,instead of,の代わりに，代わって(熟語)
752,mildly,穏やかに，静かに(副詞)
753,scar,傷跡，痕跡(名詞)
754,hesitantly,躊躇して，もじもじして(副詞)
755,wealthy,裕福な，豊かな(形容詞)
756,give out,配布する，発表する(熟語)
757,forget,を忘れる，忘れ去る(動詞)
758,stranger,他人，他者(名詞)
759,prove,を証明する，立証する(動詞)
760,insurance,保険，保障(名詞)
761,generation,世代，年代(名詞)
762,take down,降ろす，書き取る(熟語)
763,conclude,を締めくくる，終える(動詞)
764,violence,暴力，乱暴(名詞)
765,irritate,イライラさせる，怒らせる(動詞)
766,put together,まとめる，一緒にする(熟語)
767,account for,を説明する，解説する(熟語)
768,tourism,観光，観覧(名詞)
769,commit,専念，ゆだねる(動詞)
770,put off,延期する，繰り延べる(熟語)
771,maintain,を維持する，保つ(動詞)
772,favor,親切な行為，好意(名詞)
773,relevant to,に関連して，関連づけて(熟語)
774,differ,異なる，違う(動詞)
775,keep up,保持する，維持する(熟語)
776,look over,見渡す，展望する(熟語)
777,though,だけれども，しかし(接続詞)
778,limb,手足，四肢(名詞)
779,eventually,結局は，やがて(副詞)
780,suggest,を提案する，勧める(動詞)
781,entitle to,に資格を与える，認定する(熟語)
782,capture,を捕まえる，捉える(動詞)
783,psychology,心理学，精神科学(名詞)
784,export,を輸出する，輸送する(動詞)
785,spill,をこぼす，溢れる(動詞)
786,identity,同一性，一致性(名詞)
787,participate,参加する，出席する(動詞)
788,cough,咳払いする/咳(名詞/動詞)
789,include,包括する，内包する(動詞)
790,sincerely,心から，真心こめて(副詞)
791,absorb in,吸収する，没頭する(熟語)
792,improvement,改善，改良(名詞)
793,crime,犯罪，罪行(名詞)
794,spiritually,精神的に，心の中で(副詞)
795,proposal,提案，勧告(名詞)
796,confess,を打ち明ける，白状する(動詞)
797,credit,信用，信頼(名詞)
798,reservation,予約，確保(名詞)
799,translation,翻訳，訳文(名詞)
800,disadvantage,不利益，不利な立場，損失(名詞)
801,objectively,客観的に，冷静に(副詞)
802,consumption,消費，消費高(名詞)
803,innocently,无邪気に，素直に(副詞)
804,researcher,研究者，調査員(名詞)
805,location,位置，場所(名詞)
806,oxygen,酸素(名詞)
807,do away with,廃止する，取り消す(熟語)
808,take care,注意する，警戒する(熟語)
809,neglect,を無視する，放っておく(動詞)
810,be obliged to,義務付けられる，やむを得ずする(熟語)
811,survive,生き残る，存続する(動詞)
812,desert,砂漠，乾燥地帯(名詞)
813,donation,寄贈，寄付(名詞)
814,exhibit,示す，表示する(動詞)
815,principal,主要な，基本的な(形容詞)
816,product,製品，商品(名詞)
817,in short,要するに，つまり(熟語)
818,formal,正式な，公式の(形容詞)
819,persuasion,説得，口説き(名詞)
820,huge,巨大な，広大な(形容詞)
821,migrate,移行する，移住する(動詞)
822,logical,論理的な，論理上の(形容詞)
823,get away with,を持ち逃げする，盗み出す(熟語)
824,interpret,を解釈する，受け取る(動詞)
825,accuracy,正確さ，精密(名詞)
826,contribution,寄付，貢献(名詞)
827,climb,登る，よじ登る(動詞)
828,stand up,立つ，起きる(熟語)
829,preserve,保存/を保存する(動詞)
830,laundry,洗濯物，クリーニング店(名詞)
831,deal,を扱う，分配する(動詞)
832,complain of,の不満を漏らす，について苦情を言う(熟語)
833,intensive,集中的な，強調の(形容詞)
834,look through,をひと通り調べる，を見抜く(熟語)
835,budget,予算，経費(名詞)
836,mummy,ミイラ，乾燥死体(名詞)
837,dizziness,めまい，立ち眩み(名詞)
838,occasionally,時折，稀に(副詞)
839,audience,聴衆，観客(名詞)
840,liquid,液体，流体(名詞)
841,combine,を結合させる，合同する(動詞)
842,imply,をほのめかす，暗示する(動詞)
843,applause,拍手かっさい，称賛(名詞)
844,ridiculous,ばかげている，不合理な(形容詞)
845,ignore,を無視する，見逃す(動詞)
846,mammal,哺乳類(名詞)
847,indeed,実に，全く(副詞)
848,blame for,の責任を問う，を責める(熟語)
849,fossil,化石，遺跡(名詞)
850,obvious,明白な，明瞭な(形容詞)
851,precise,正確な，的確な(形容詞)
852,see in,案内して部屋に入れる，迎える(熟語)
853,happen,起こる，発生する(動詞)
854,argument,議論，口論(名詞)
855,visually,視覚的に，目で見て(副詞)
856,terribly,ひどく，ものすごく(副詞)
857,go after,を追いかける，追跡する(熟語)
858,by nature,本来，生来(熟語)
859,direction,方向，方角(名詞)
860,differ from,とは違って，との違い(熟語)
861,astonish,ひどく驚かす，驚かせる(動詞)
862,divide,を分割する，分ける(動詞)
863,at least,少なくとも，最低限(熟語)
864,distract,気を散らす，気をそらす(動詞)
865,describe,を述べる，描写する(動詞)
866,in place,決まった場所に，適切で(熟語)
867,opinion,意見，考え(名詞)
868,finally,ついに，やっと(副詞)
869,frown,しかめっ面，顔をしかめる(名詞/動詞)
870,culture,文化，教養(名詞)
871,overcome,を克服する，乗り越える(動詞)
872,figure,形，姿(名詞)
873,inspire,鼓舞する，励ます(動詞)
874,prize,賞，報酬(名詞)
875,accomplishment,完成，成果(名詞)
876,suburb,郊外，近郊(名詞)
877,drag,引っ張る，引きずる(動詞)
878,mineral,无機物，非生物(名詞)
879,escape,逃れる，脱走する(動詞)
880,come out,出てくる，世に出る(熟語)
881,tremble,震える，おののく(動詞)
882,stay up,(夜遅くまで)起きている，覚醒している(熟語)
883,genuine,本物の，純粋な(形容詞)
884,come across,を横切る，出くわす(熟語)
885,needlessly,不必要に，無用に(副詞)
886,in exchange,と引き換えに，代わりに(熟語)
887,during,～の間，～の間ずっと(接続詞)
888,island,島，島々(名詞)
889,property,財産，所有物(名詞)
890,deaf,耳が不自由な，耳が聞こえない(形容詞)
891,masterpiece,傑作，名作(名詞)
892,bound for,行きの，方向の(熟語)
893,in stock,在庫あり，在庫のある(熟語)
894,admission,入場，入場料(名詞)
895,retire,退職する，引退する(動詞)
896,deliver,配達する，届ける(動詞)
897,draw,描く，引っ張る(動詞)
898,factory,工場，製造所(名詞)
899,create,創造する，考案する(動詞)
900,rather,むしろ，どちらかといえば(副詞)
901,threat,脅威，危機(名詞)
902,tropical,熱帯の，熱帯気候の(形容詞)
903,act on,を決定する，決議する(熟語)
904,vital,極めて重要な，生命の(形容詞)
905,agricultural,農業の，農作物の(形容詞)
906,altogether,完全に，まったく(副詞)
907,quantity,量，数値(名詞)
908,male,男性，雄(名詞)
909,by means of,によって，を用いて(熟語)
910,insist,強く主張する，断言する(動詞)
911,hesitation,ためらい，躊躇(名詞)
912,persist in,固執する，やり通す(熟語)
913,conversation,会話，対話(名詞)
914,ordinary,ふつうの，いつもの(形容詞)
915,in vain,无駄に，軽々しく(熟語)
916,catch up with,に追いつく，付いていく(熟語)
917,off duty,非番の，勤務時間外で(熟語)
918,live on,生き続ける，存続する(熟語)
919,illustration,図解，実例(名詞)
920,expensive,高価な，費用のかかる(形容詞)
921,expect,予期する，予想する(動詞)
922,concentration,集中，専念(名詞)
923,thermometer,温度計，気温計(名詞)
924,advertisement,広告，宣伝(名詞)
925,debt,借金，負債(名詞)
926,pull down,引き下げる，取り壊す(熟語)
927,investigate,調査する，研究する(動詞)
928,description,説明書，記述(名詞)
929,as follows,次のとおり，以下の通り(熟語)
930,bother,面倒/迷惑をかける(動詞)
931,punishment,罰，罰則(名詞)
932,propose,を提案する，申し出る(動詞)
933,flame,火炎，炎(名詞)
934,ambulance,救急車，救援車(名詞)
935,intense,激しい，熱心な(形容詞)
936,impossible,不可能な，実現不可能な(形容詞)
937,be accustomed to,に慣れている，馴染んでいる(熟語)
938,curiosity,好奇心，探究心(名詞)
939,organization,組織，団体，協会(名詞)
940,in danger of,の危険にさらされている，危険に直面している(熟語)
941,in turn,順番に，順次(熟語)
942,worthy of,ふさわしくて，に値して(熟語)
943,look up to,を尊敬する，を敬う(熟語)
944,add to,付け加える，増やす(熟語)
945,submit,を提出する，に服従する(動詞)
946,immigration,移住，入国管理(名詞)
947,convince,を納得させる，説得する(動詞)
948,declare,を宣言する，公表する(動詞)
949,vain,うぬぼれの強い，自惚れた(形容詞)
950,resource,資源，資産(名詞)
951,domestic,国内の，家庭の(形容詞)
952,make up,用意する，片付ける(熟語)
953,affection,愛情，好意(名詞)
954,recent,最近の，新しい(形容詞)
955,discovery,発見，見つけること(名詞)
956,by heart,体で覚えて，身体的に覚える(熟語)
957,stimulate,を刺激する，元気づける(動詞)
958,college,大学，高等教育機関(名詞)
959,academically,学問的に，知識的に(副詞)
960,grass,草(名詞)
961,praise,をほめる/賞賛(動詞)
962,dentist,歯医者，歯科医(名詞)
963,truly,真に，正確に(副詞)
964,cling,くっつく，接着する(動詞)
965,clip,切る，切り取る/クリップ(動詞)
966,reaction,反応，反響(名詞)
967,conventional,従来の，伝統的な(形容詞)
968,relieve,和らげる，軽減する(動詞)
969,seek,求める，捜し出す(動詞)
970,forever,永遠に，ずっと(副詞)
971,intervention,介在，仲裁(名詞)
972,historian,歴史家，史学者(名詞)
973,whether,どちらか，いずれか(接続詞)
974,ethnic,民族の，民族特有の(形容詞)
975,swear,誓う，宣誓する(動詞)
976,responsibility,責任，義務(名詞)
977,opponent,相手，対象(名詞)
978,blow,吹く，吹き飛ばす(動詞)
979,history,歴史，過去(名詞)
980,society,社会，共同体(名詞)
981,mature,成熟した，大人の(形容詞)
982,democratic,民主主義の，民主政治の(形容詞)
983,manager,部長，支配人(名詞)
984,definition,定義，明確な説明(名詞)
985,abstract,抽象的な，非具体的な(形容詞)
986,recover,回復する，元に戻る(動詞)
987,notion,考え，意見(名詞)
988,reject,拒絶する，断る(動詞)
989,chamber,小部屋，個室(名詞)
990,desire,願望/切望する(動詞)
991,distinguish,を区別する，識別する(動詞)
992,warn,警告する，警戒する(動詞)
993,excess,過剰，超過(名詞)
994,numerous,多数の，多くの(形容詞)
995,harmony,調和，一致(名詞)
996,fail,失敗する，うまくいかない(動詞)
997,gentle,穏やかな，物柔らかな(形容詞)
998,enforcement,執行，実施(名詞)
999,trait,特性，特色(名詞)
1000,deficit,赤字，欠損(名詞)
1001,source,情報源，原因(名詞)
1002,representative,代表者，代理人(名詞)
1003,commitment,約束，委託(名詞)
1004,worry,心配させる，心配する(動詞)
1005,bitter,苦い，えぐい(形容詞)
1006,assess,評価する，査定する(動詞)
1007,prosecution,起訴，告訴(名詞)
1008,discussion,議論，討論(名詞)
1009,drift,漂流，流れる(名詞)
1010,troop,群れ，集団(名詞)
1011,crack,裂け目，ひび(名詞)
1012,output,生産量，製造量(名詞)
1013,relation,関係性，相互作用(名詞)
1014,law,法律，制度(名詞)
1015,share,分かち合う/分け前(動詞)
1016,assist,手伝う，促進する(動詞)
1017,later,後に，以後(副詞)
1018,resolution,解決，決意(名詞)
1019,welcome,歓迎される，迎えられる(動詞)
1020,ensure,を確実にする，を保証する(動詞)
1021,classical,古典の，古代の(形容詞)
1022,merely,単に，ただ(副詞)
1023,according,による，準じて(副詞)
1024,occupation,職業，仕事(名詞)
1025,proportion,比率，割合(名詞)
1026,anger,怒り，憤り(名詞)
1027,delivery,配達，送付(名詞)
1028,annoy,いらだたせる，怒らせる(動詞)
1029,civilian,民間人，一般市民(名詞)
1030,craft,工芸，技能(名詞)
1031,appreciate,感謝する，ありがたがる(動詞)
1032,corridor,廊下，通路(名詞)
1033,plenty,たくさん，多く(名詞)
1034,virtue,徳，道徳(名詞)
1035,pleasure,楽しみ，喜び(名詞)
1036,bored,退屈した，つまらない(形容詞)
1037,behavior,振る舞い，態度(名詞)
1038,conscious,意識して，気をつけて(形容詞)
1039,objective,目標，目的(名詞)
1040,education,教育，指導(名詞)
1041,regional,地方の，地域の(形容詞)
1042,controversial,議論の的になる，論争上の(形容詞)
1043,investigator,捜査官，探偵(名詞)
1044,slide,滑る，滑走する(動詞)
1045,seat,を着席させる/座席(動詞)
1046,tap,軽くたたく，軽く打つ(動詞)
1047,manner,やり方，方法(名詞)
1048,therapy,治療，療法(名詞)
1049,compete,競争する，争う(動詞)
1050,representation,表現，表示(名詞)
1051,tear,を引き裂く，を裂く(動詞)
1052,crucial,重要な，決定的な(形容詞)
1053,creative,創造的な，独創的な(形容詞)
1054,realize,だとわかる，実現する(動詞)
1055,physics,物理学，物理科学(名詞)
1056,invest,に投資する，資本をつぎ込む(動詞)
1057,satisfaction,満足，充足(名詞)
1058,dust,ほこり，塵(名詞)
1059,possible,可能な，実現可能な(形容詞)
1060,tremendous,非常に大きな，極めて大きい(形容詞)
1061,typically,典型的に，一般的に(副詞)
1062,awareness,気づき，認識(名詞)
1063,quite,かなり，相当に(副詞)
1064,committee,委員会，会議(名詞)
1065,dependent,依存している，頼っている(形容詞)
1066,especially,特に，格段に(副詞)
1067,deputy,代理，代わり(名詞)
1068,extent,程度，大きさ(名詞)
1069,subject,教科，主題(名詞)
1070,horror,恐怖，怖さ(名詞)
1071,salary,給与，報酬(名詞)
1072,grand,壮大な，雄大な(形容詞)
1073,guide,案内人/案内する(名詞)
1074,vessel,容器，器(名詞)
1075,cooperation,協力，共同作業(名詞)
1076,interfere,に干渉する，介入する(動詞)
1077,recall,呼び戻す，思い出す(動詞)
1078,patience,辛抱強さ，忍耐力(名詞)
1079,venture,冒険的事業，投機的事業(名詞)
1080,annual,毎年の，年毎の(形容詞)
1081,fair,公平な，平等な(形容詞)
1082,bill,請求書，勘定書(名詞)
1083,behind,背後に，後方に(副詞)
1084,suppose,だと思う，と仮定する(動詞)
1085,provision,供給，支給(名詞)
1086,depend,依存する，頼る(動詞)
1087,myth,神話，神話伝説(名詞)
1088,sink,沈む，沈没する(動詞)
1089,pregnant,妊娠している，妊娠中の(形容詞)
1090,derive,を引き出す，取り出す(動詞)
1091,practically,実質的に，実用的に(副詞)
1092,elaborate,手の込んだ，複雑な(形容詞)
1093,refugee,難民，避難者(名詞)
1094,motive,動機，意欲(名詞)
1095,ally,と同盟する，連合する(動詞)
1096,minimum,最小の，最も小さな(形容詞)
1097,attorney,弁護士，代理人(名詞)
1098,commissioner,委員，理事(名詞)
1099,clue,手がかり，糸口(名詞)
1100,minister,大臣，牧師(名詞)
1101,arrival,到着，到達(名詞)
1102,technical,技術上の，専門的な(形容詞)
1103,similarity,類似点，相似(名詞)
1104,fully,十分に，完全に(副詞)
1105,nowhere,どこにも，どこにでも(副詞)
1106,hunger,飢え，空腹(名詞)
1107,pretend,のふりをする，に成りすます(動詞)
1108,perception,知覚，認知(名詞)
1109,leap,飛び跳ねる，飛び越える(動詞)
1110,lie,横たわる，寝転ぶ(動詞)
1111,tongue,言葉，舌(名詞)
1112,success,成功，達成(名詞)
1113,candidate,候補者，志願者(名詞)
1114,hate,ひどく嫌う，深く憎む(動詞)
1115,notice,気づく/通知(動詞)
1116,mystery,神秘的な/神秘(名詞)
1117,dignity,威厳，尊厳(名詞)
1118,senate,上院，上院議会(名詞)
1119,contemporary,現在の，現代の(形容詞)
1120,previous,前の，以前の(形容詞)
1121,fiber,繊維，糸(名詞)
1122,oppose,反対する，抵抗する(動詞)
1123,creation,創造，創作(名詞)
1124,Jewish,ユダヤ人，ユダヤ教徒(形容詞)
1125,reputation,評判，評価(名詞)
1126,rude,失礼な，無礼な(形容詞)
1127,ritual,儀式，式典(名詞)
1128,historical,歴史上の，過去の(形容詞)
1129,opposition,反対，対立(名詞)
1130,structure,構造，建造物(名詞)
1131,percentage,割合，比率(名詞)
1132,enter,入る，入場する(動詞)
1133,install,導入する，導く(動詞)
1134,tip,先，前方(名詞)
1135,use up,使い切る，消耗する(熟語)
1136,state,状態，状況(名詞)
1137,adjust,を調節する，調整する(動詞)
1138,physician,医師，内科医(名詞)
1139,labor,労働，労働者(名詞)
1140,international,国際的な，国際レベルの(形容詞)
1141,strongly,強く，激しく(副詞)
1142,arms,武器，兵器(名詞)
1143,household,家族，世帯(名詞)
1144,nation,国家，国土(名詞)
1145,jury,陪審員，審査員(名詞)
1146,former,前の，以前の(形容詞)
1147,illegal,違法の，不正な(形容詞)
1148,circumstance,状況，環境(名詞)
1149,wan,青ざめた，蒼白な(形容詞)
1150,spoil,台無しにする，損なう(動詞)
1151,composition,構成，制作(名詞)
1152,tail,尾，尾部(名詞)
1153,majority,大多数，多数派(名詞)
1154,beside,の横に，隣に(前置詞)
1155,operation,操作，作用(名詞)
1156,talent,才能，能力(名詞)
1157,pleasant,楽しい，愉快な(形容詞)
1158,era,時代，世代(名詞)
1159,ultimate,究極の，最後の(形容詞)
1160,telescope,望遠鏡，遠望鏡(名詞)
1161,originate,始まる，起こす(動詞)
1162,delight,喜び，歓喜(名詞)
1163,whenever,する時はいつでも，する際は常に(接続詞)
1164,operate,操作する，操る(動詞)
1165,consistent,一貫した，矛盾のない(形容詞)
1166,exhaust,疲れ果てさせる，消耗させる(動詞)
1167,twin,双子，二卵性双生児(名詞)
1168,fix,固定する，修理する(動詞)
1169,enhance,強調する，(さらに)高める(動詞)
1170,defendant,被告人，告発される人(名詞)
1171,negotiation,交渉，話し合い(名詞)
1172,face,直面する/顔(動詞)
1173,immediate,即座の，瞬時の(形容詞)
1174,instant,瞬間，瞬時(名詞)
1175,bloody,血の，血液の(形容詞)
1176,gear,伝動装置，動力伝達装置(名詞)
1177,block,を妨げる，を阻害する(動詞)
1178,unless,でない限り，除いて(接続詞)
1179,willing,いとわない，快諾する(形容詞)
1180,negotiate,交渉する，協議する(動詞)
1181,doubt,疑い，疑問(名詞)
1182,afford,余裕がある，ゆとりがある(動詞)
1183,wage,賃金，報酬(名詞)
1184,abortion,中絶，妊娠中絶(名詞)
1185,strange,奇妙な，異常な(形容詞)
1186,estate,財産，資産(名詞)
1187,addition,追加，付加(名詞)
1188,smart,頭の良い，きちんとした(形容詞)
1189,bind,縛りつける，束ねる(動詞)
1190,shed,流す，排出する(動詞)
1191,citizen,市民，国民(名詞)
1192,summit,頂上，山頂(名詞)
1193,battery,電池，蓄電池(名詞)
1194,complexity,複雑さ，錯綜さ(名詞)
1195,reduction,削減，減少(名詞)
1196,disaster,災害，災難(名詞)
1197,comfort,快適さ/慰める(名詞)
1198,founder,創設者，創立者(名詞)
1199,assault,暴行，攻撃(名詞)
1200,broadcast,放送する，発信する(動詞)
1201,critic,批評家，評論家(名詞)
1202,friendly,友好的な，親切な(形容詞)
1203,consequently,その結果として，それゆえに(副詞)
1204,urban,都会の，市内の(形容詞)
1205,detailed,詳細の，具体的な(形容詞)
1206,primitive,原始的な，先史的な(形容詞)
1207,electrical,電気の，電気を用いた(形容詞)
1208,afraid,心配して，恐れて(形容詞)
1209,community,共同社会，共同体(名詞)
1210,connect,つなげる，接続する(動詞)
1211,scheme,計画，企画(名詞)
1212,language,言語，言葉(名詞)
1213,colleague,同僚，仲間(名詞)
1214,stroke,打撃，衝撃(名詞)
1215,servant,使用人，召使(名詞)
1216,belief,信念，信条(名詞)
1217,inflation,膨張，拡大(名詞)
1218,Muslim,イスラム教徒，ムスリム(名詞)
1219,upset,気持ちが動揺した，ひっくり返す(形容詞)
1220,inquiry,問い合わせ，質問(名詞)
1221,apply,適用する，応用する(動詞)
1222,failure,失敗，挫折(名詞)
1223,seed,種子，種(名詞)
1224,potentially,潜在的に，可能性として(副詞)
1225,cultivate,耕作する，耕す(動詞)
1226,awful,ひどい，恐ろしい(形容詞)
1227,mate,友達，仲間(名詞)
1228,military,軍隊，兵力(名詞)
1229,armed,武装した，装備した(形容詞)
1230,lung,肺(名詞)
1231,sequence,連続，継続(名詞)
1232,impress,感銘を与える，感動させる(動詞)
1233,Mexican,メキシコの，メキシコ系の(形容詞)
1234,suffering,苦しみ，悩み(名詞)
1235,refrain from,を控える，を遠慮する(熟語)
1236,well-known,よく知られた，有名な(形容詞)
1237,associate,結びつけて考える，賛同する(動詞)
1238,lord,領主，支配者(名詞)
1239,governor,知事，州知事(名詞)
1240,permanent,永久の，永遠の(形容詞)
1241,bishop,司教，教会の指導者(名詞)
1242,background,背景，背後(名詞)
1243,beg,懇願する，願い出る(動詞)
1244,relevant,関連のある，適切な(形容詞)
1245,recognition,認識，認知(名詞)
1246,sharp,鋭い，先鋭的な(形容詞)
1247,legal,法律の，法的な(形容詞)
1248,criticize,を批評する，を評価する(動詞)
1249,naked,裸の，無防備な(形容詞)
1250,symptom,症状，兆候(名詞)
1251,raw,生の，未加工の(形容詞)
1252,association,協会，連合(名詞)
1253,phase,段階，レベル(名詞)
1254,politics,政治，政策(名詞)
1255,atmosphere,雰囲気，気候(名詞)
1256,lap,ひざ，膝小僧(名詞)
1257,clerk,事務員，社員(名詞)
1258,fault,欠点，短所(名詞)
1259,toward,向かって，のほうへ(前置詞)
1260,foreign,外国の，海外の(形容詞)
1261,global,地球の，世界の(形容詞)
1262,hire,雇う，採用する(動詞)
1263,item,項目，要点(名詞)
1264,dislike,嫌がる，嫌い(動詞)
1265,unknown,未知の，分からない(形容詞)
1266,nearby,近くの，隣近所の(形容詞)
1267,traditional,伝統的な，慣習的な(形容詞)
1268,liberty,自由，独立(名詞)
1269,toe,つま先，足の指(名詞)
1270,log,丸太，円木(名詞)
1271,appoint,任命する，指定する(動詞)
1272,courage,勇気，勇猛(名詞)
1273,quarter,四半期，四分期(名詞)
1274,affair,事柄，問題(名詞)
1275,snap,パチンと鳴らす，カチンと鳴らす(動詞)
1276,tale,お話，物語(名詞)
1277,educational,教育の，教授の(形容詞)
1278,hardly,ほとんどない，少ない(副詞)
1279,conclusion,結論，最終的な判断(名詞)
1280,whereas,である一方で，だが一方で(接続詞)
1281,custom,習慣，慣例(名詞)
1282,biological,生物学上の，生物的な(形容詞)
1283,confine,制限する，限定する(動詞)
1284,beneath,の下に，以下に(前置詞)
1285,extinction,絶滅，消失(名詞)
1286,tiny,ごく小さい，微小な(形容詞)
1287,election,選挙，投票(名詞)
1288,charm,魅力，引力(名詞)
1289,palm,手のひら，（動物の）前足の裏(名詞)
1290,mean,を意味する，を示す(動詞)
1291,advertise,宣伝する，広告する(動詞)
1292,advertising,広告，宣伝(名詞)
1293,factor,要因，原因(名詞)
1294,curious,好奇心が強い，探究心が強い(形容詞)
1295,pitch,投げる，放る(動詞)
1296,excessive,過度の，極端な(形容詞)
1297,war,戦争，衝突(名詞)
1298,apparently,明らかに，明確に(副詞)
1299,boundary,境界，限界(名詞)
1300,procedure,手続き，手順(名詞)
1301,consumer,消費者，利用者(名詞)
1302,satisfactory,満足のいく，充足する(形容詞)
1303,echo,こだま，反響(名詞)
1304,essay,論文，随筆(名詞)
1305,extension,拡張，展開(名詞)
1306,atomic,原子の，素粒子の(形容詞)
1307,sigh,ため息をつく，ため息を出す(動詞)
1308,sophisticated,洗練された，高雅な(形容詞)
1309,considerable,かなりの，相当な(形容詞)
1310,explain,を説明する，を解説する(動詞)
1311,bet,賭ける，博打をする(動詞)
1312,plant,植物，草木(名詞)
1313,scatter,まき散らす，ばらまく(動詞)
1314,admire,を賞賛する，を賛美する(動詞)
1315,largely,主として，主に(副詞)
1316,rear,后部の，背後の(形容詞)
1317,bond,拘束，束縛(名詞)
1318,authority,権威，権力(名詞)
1319,medium,中間の，中央の(形容詞)
1320,adapt,に適合させる，調整する(動詞)
1321,resist,抵抗する，反発する(動詞)
1322,folk,人々，群衆(名詞)
1323,poet,詩人，作詩者(名詞)
1324,resolve,解決する，を決心する(動詞)
1325,detail,詳細，具体的な情報(名詞)
1326,priority,優先度，優越性(名詞)
1327,false,誤った，間違った(形容詞)
1328,prisoner,囚人，受刑者(名詞)
1329,apparent,外見上の，明白な(形容詞)
1330,lab,研究室，研究所(名詞)
1331,squeeze,絞る，押しつぶす(動詞)
1332,status,状態，身分(名詞)
1333,pension,年金，老後の資金(名詞)
1334,unique,他に類を見ない，唯一の(形容詞)
1335,eliminate,を取り除く，を排除する(動詞)
1336,patch,当て布，布切れ(名詞)
1337,observation,観察，観測(名詞)
1338,dozen,12の(名詞)
1339,airline,航空会社，航空業者(名詞)
1340,flow,流れる，流す(動詞)
1341,independent,独立した，自立した(形容詞)
1342,president,社長，大統領(名詞)
1343,socially,社会的に，社会的観点から(副詞)
1344,settle,決着させる，解決する(動詞)
1345,ideal,理想，目指すべき状態(名詞)
1346,address,住所，居住地(名詞)
1347,pray,祈る，願う(動詞)
1348,ray,光線，放射線(名詞)
1349,maker,製造元，製作者(名詞)
1350,combat,戦闘，闘争(名詞)
1351,ministry,省庁，官庁(名詞)
1352,explosion,爆発，爆裂(名詞)
1353,cure,治療する，療養する(動詞)
1354,public,公共の，共有の(形容詞)
1355,reach,到着する，辿り着く(動詞)
1356,impact,影響，衝撃(名詞)
1357,union,統合，一致(名詞)
1358,author,著者，作者(名詞)
